Jusidiction,2015 Vehicles per Household,2016 Vehicles per Household,,,,,
"Abilene, Texas",1.71,1.69,,,,,
"Akron, Ohio",1.42,1.46,,,,,
"Albuquerque, New Mexico",1.69,1.75,,,,,
"Alexandria, Virginia",1.38,1.34,,,,,
"Allentown, Pennsylvania",1.31,1.33,,,,,
"Amarillo, Texas",1.73,1.81,,,,,
"Anaheim, California",2.01,2.05,,,,,
"Anchorage, Alaska",1.84,1.95,,,,,
"Ann Arbor, Michigan",1.45,1.44,,,,,
"Antioch, California",2.14,2.24,,,,,
"Arden-Arcade, California",1.53,1.58,,,,,
"Arlington, Texas",1.85,1.89,,,,,
"Arlington, Virginia",1.38,1.4,,,,,
"Arvada, Colorado",2.04,2.07,,,,,
"Athens-Clarke County, Georgia",1.52,1.67,,,,,
"Atlanta, Georgia",1.31,1.28,,,,,
"Augusta-Richmond County, Georgia",1.68,1.69,,,,,
"Aurora, Colorado",1.82,1.85,,,,,
"Aurora, Illinois",1.98,1.94,,,,,
"Austin, Texas",1.65,1.65,,,,,
"Bakersfield, California",1.93,1.92,,,,,
"Baltimore, Maryland",1.08,1.08,,,,,
"Baton Rouge, Louisiana",1.54,1.55,,,,,
"Beaumont, Texas",1.57,1.62,,,,,
"Bellevue, Washington",1.74,1.81,,,,,
"Berkeley, California",1.29,1.23,,,,,
"Billings, Montana",2.05,1.91,,,,,
"Birmingham, Alabama",1.41,1.48,,,,,
"Boise City, Idaho",1.81,1.7,,,,,
"Boston, Massachusetts",0.94,0.94,,,,,
"Boulder, Colorado",1.63,1.72,,,,,
"Brandon, Florida",1.75,1.69,,,,,
"Bridgeport, Connecticut",1.37,1.42,,,,,
"Broken Arrow, Oklahoma",2.03,2,,,,,
"Brownsville, Texas",1.73,1.73,,,,,
"Buffalo, New York",1.03,1.08,,,,,
"Burbank, California",1.65,1.71,,,,,
"Cambridge, Massachusetts",0.9,0.86,,,,,
"Cape Coral, Florida",1.72,1.78,,,,,
"Carlsbad, California",1.99,2.01,,,,,
"Carrollton, Texas",1.91,1.91,,,,,
"Cary, North Carolina",1.94,1.89,,,,,
"Cedar Rapids, Iowa",1.72,1.75,,,,,
"Centennial, Colorado",2.1,2.15,,,,,
"Chandler, Arizona",1.82,1.85,,,,,
"Charleston, South Carolina",1.64,1.55,,,,,
"Charlotte, North Carolina",1.65,1.71,,,,,
"Chattanooga, Tennessee",1.53,1.54,,,,,
"Chesapeake, Virginia",2.02,1.99,,,,,
"Chicago, Illinois",1.11,1.12,,,,,
"Chula Vista, California",1.99,2.01,,,,,
"Cincinnati, Ohio",1.27,1.3,,,,,
"Clarksville, Tennessee",1.78,1.84,,,,,
"Clearwater, Florida",1.49,1.45,,,,,
"Cleveland, Ohio",1.15,1.19,,,,,
"Clovis, California",1.92,1.98,,,,,
"College Station, Texas",1.78,1.86,,,,,
"Colorado Springs, Colorado",1.8,1.85,,,,,
"Columbia, Maryland",1.72,1.81,,,,,
"Columbia, Missouri",1.66,1.68,,,,,
"Columbia, South Carolina",1.47,1.55,,,,,
"Columbus, Georgia",1.52,1.68,,,,,
"Columbus, Ohio",1.54,1.55,,,,,
"Concord, California",1.94,1.86,,,,,
"Coral Springs, Florida",1.88,1.81,,,,,
"Corona, California",2.17,2.29,,,,,
"Corpus Christi, Texas",1.75,1.77,,,,,
"Costa Mesa, California",1.79,2,,,,,
"Dallas, Texas",1.56,1.59,,,,,
"Daly City, California",1.96,1.95,,,,,
"Davenport, Iowa",1.7,1.66,,,,,
"Davie, Florida",1.81,1.9,,,,,
"Dayton, Ohio",1.32,1.39,,,,,
"Denton, Texas",1.78,1.8,,,,,
"Denver, Colorado",1.58,1.62,,,,,
"Des Moines, Iowa",1.7,1.71,,,,,
"Detroit, Michigan",1.13,1.15,,,,,
"Downey, California",2.11,2.19,,,,,
"Durham, North Carolina",1.56,1.63,,,,,
"East Los Angeles, California",1.6,1.75,,,,,
"El Cajon, California",1.67,1.73,,,,,
"El Monte, California",1.83,2.05,,,,,
"El Paso, Texas",1.79,1.82,,,,,
"Elgin, Illinois",1.85,1.95,,,,,
"Elizabeth, New Jersey",1.08,1.17,,,,,
"Elk Grove, California",2.16,2.21,,,,,
"Enterprise, Nevada",1.87,1.85,,,,,
"Escondido, California",1.88,1.95,,,,,
"Eugene, Oregon",1.54,1.64,,,,,
"Evansville, Indiana",1.54,1.48,,,,,
"Everett, Washington",1.64,1.65,,,,,
"Fairfield, California",2.03,2.01,,,,,
"Fargo, North Dakota",1.66,1.67,,,,,
"Fayetteville, North Carolina",1.65,1.64,,,,,
"Fontana, California",2.37,2.27,,,,,
"Fort Collins, Colorado",1.89,1.86,,,,,
"Fort Lauderdale, Florida",1.45,1.49,,,,,
"Fort Wayne, Indiana",1.65,1.69,,,,,
"Fort Worth, Texas",1.8,1.83,,,,,
"Fremont, California",2.1,2.12,,,,,
"Fresno, California",1.64,1.63,,,,,
"Frisco, Texas",2.05,2,,,,,
"Fullerton, California",1.96,2.02,,,,,
"Gainesville, Florida",1.48,1.44,,,,,
"Garden Grove, California",2.23,2.19,,,,,
"Garland, Texas",1.99,2.04,,,,,
"Gilbert, Arizona",2.04,2.08,,,,,
"Glendale, Arizona",1.66,1.72,,,,,
"Glendale, California",1.65,1.67,,,,,
"Grand Prairie, Texas",2.03,2.03,,,,,
"Grand Rapids, Michigan",1.51,1.56,,,,,
"Greeley, Colorado",1.92,1.92,,,,,
"Green Bay, Wisconsin",1.61,1.66,,,,,
"Greensboro, North Carolina",1.64,1.61,,,,,
"Gresham, Oregon",1.68,1.87,,,,,
"Hampton, Virginia",1.75,1.69,,,,,
"Hartford, Connecticut",1,0.99,,,,,
"Hayward, California",2.08,2.12,,,,,
"Henderson, Nevada",1.79,1.74,,,,,
"Hialeah, Florida",1.53,1.58,,,,,
"High Point, North Carolina",1.65,1.66,,,,,
"Highlands Ranch, Colorado",2.07,2.04,,,,,
"Hillsboro, Oregon",1.7,1.86,,,,,
"Hollywood, Florida",1.52,1.53,,,,,
"Honolulu, Hawaii",1.4,1.4,,,,,
"Houston, Texas",1.58,1.59,,,,,
"Huntington Beach, California",1.98,1.99,,,,,
"Huntsville, Alabama",1.68,1.7,,,,,
"Independence, Missouri",1.7,1.7,,,,,
"Indianapolis, Indiana",1.54,1.63,,,,,
"Inglewood, California",1.63,1.69,,,,,
"Irvine, California",1.77,1.83,,,,,
"Irving, Texas",1.72,1.75,,,,,
"Jackson, Mississippi",1.6,1.68,,,,,
"Jacksonville, Florida",1.62,1.62,,,,,
"Jersey City, New Jersey",0.81,0.85,,,,,
"Joliet, Illinois",1.83,1.91,,,,,
"Jurupa Valley, California",2.39,2.32,,,,,
"Kansas City, Kansas",1.78,1.72,,,,,
"Kansas City, Missouri",1.55,1.58,,,,,
"Kent, Washington",1.98,1.85,,,,,
"Killeen, Texas",1.72,1.79,,,,,
"Knoxville, Tennessee",1.57,1.59,,,,,
"Lafayette, Louisiana",1.6,1.6,,,,,
"Lakeland, Florida",1.53,1.54,,,,,
"Lakewood, Colorado",1.85,1.84,,,,,
"Lancaster, California",1.78,1.77,,,,,
"Lansing, Michigan",1.41,1.45,,,,,
"Laredo, Texas",1.87,1.85,,,,,
"Las Cruces, New Mexico",1.75,1.73,,,,,
"Las Vegas, Nevada",1.62,1.63,,,,,
"League City, Texas",2.04,2.15,,,,,
"Lehigh Acres, Florida",1.85,1.81,,,,,
"Lewisville, Texas",1.76,1.78,,,,,
"Lexington, Kentucky",1.64,1.7,,,,,
"Lincoln, Nebraska",1.74,1.78,,,,,
"Little Rock, Arkansas",1.59,1.58,,,,,
"Long Beach, California",1.64,1.69,,,,,
"Los Angeles, California",1.59,1.62,,,,,
"Louisville/Jefferson County, Kentucky",1.6,1.61,,,,,
"Lowell, Massachusetts",1.35,1.52,,,,,
"Lubbock, Texas",1.67,1.74,,,,,
"Macon-Bibb County, Georgia",1.55,1.6,,,,,
"Madison, Wisconsin",1.51,1.5,,,,,
"Manchester, New Hampshire",1.6,1.56,,,,,
"McAllen, Texas",1.72,1.72,,,,,
"McKinney, Texas",1.89,1.95,,,,,
"Memphis, Tennessee",1.49,1.47,,,,,
"Mesa, Arizona",1.67,1.78,,,,,
"Mesquite, Texas",1.92,1.96,,,,,
"Metairie, Louisiana",1.6,1.6,,,,,
"Miami Gardens, Florida",1.75,1.71,,,,,
"Miami, Florida",1.19,1.24,,,,,
"Midland, Texas",2.05,1.93,,,,,
"Milwaukee, Wisconsin",1.3,1.34,,,,,
"Minneapolis, Minnesota",1.33,1.35,,,,,
"Miramar, Florida",1.97,2,,,,,
"Mobile, Alabama",1.6,1.65,,,,,
"Modesto, California",1.82,1.86,,,,,
"Montgomery, Alabama",1.68,1.62,,,,,
"Moreno Valley, California",2.22,2.32,,,,,
"Murfreesboro, Tennessee",1.82,1.96,,,,,
"Murrieta, California",2.12,2.36,,,,,
"Naperville, Illinois",1.89,1.91,,,,,
"Nashville-Davidson, Tennessee",1.66,1.72,,,,,
"New Haven, Connecticut",1.01,1.1,,,,,
"New Orleans, Louisiana",1.28,1.26,,,,,
"New York, New York",0.63,0.63,,,,,
"Newark, New Jersey",0.86,0.89,,,,,
"Newport News, Virginia",1.63,1.69,,,,,
"Norfolk, Virginia",1.58,1.54,,,,,
"Norman, Oklahoma",1.83,1.87,,,,,
"North Charleston, South Carolina",1.52,1.46,,,,,
"North Las Vegas, Nevada",1.84,1.89,,,,,
"Norwalk, California",2.21,2.27,,,,,
"Oakland, California",1.44,1.45,,,,,
"Oceanside, California",1.89,1.92,,,,,
"Odessa, Texas",1.83,1.78,,,,,
"Oklahoma City, Oklahoma",1.78,1.82,,,,,
"Olathe, Kansas",2.01,2.01,,,,,
"Omaha, Nebraska",1.68,1.66,,,,,
"Ontario, California",2.04,2.15,,,,,
"Orange, California",2.12,2.16,,,,,
"Orlando, Florida",1.45,1.5,,,,,
"Overland Park, Kansas",1.85,1.85,,,,,
"Oxnard, California",2.2,2.1,,,,,
"Palm Bay, Florida",1.6,1.75,,,,,
"Palmdale, California",1.95,2.02,,,,,
"Paradise, Nevada",1.41,1.5,,,,,
"Pasadena, California",1.62,1.54,,,,,
"Pasadena, Texas",1.78,1.88,,,,,
"Paterson, New Jersey",1.05,1,,,,,
"Pearland, Texas",1.99,2.18,,,,,
"Pembroke Pines, Florida",1.83,1.83,,,,,
"Peoria, Arizona",1.85,1.91,,,,,
"Peoria, Illinois",1.44,1.45,,,,,
"Philadelphia, Pennsylvania",1.03,1.05,,,,,
"Phoenix, Arizona",1.66,1.71,,,,,
"Pittsburgh, Pennsylvania",1.18,1.16,,,,,
"Plano, Texas",1.9,1.93,,,,,
"Pomona, California",2.07,2.27,,,,,
"Pompano Beach, Florida",1.49,1.44,,,,,
"Port St. Lucie, Florida",1.76,1.79,,,,,
"Portland, Oregon",1.49,1.49,,,,,
"Providence, Rhode Island",1.21,1.27,,,,,
"Provo, Utah",2.11,2.17,,,,,
"Pueblo, Colorado",1.63,1.67,,,,,
"Raleigh, North Carolina",1.69,1.74,,,,,
"Rancho Cucamonga, California",2.15,2.12,,,,,
"Reno, Nevada",1.64,1.73,,,,,
"Renton, Washington",1.78,1.87,,,,,
"Rialto, California",2.22,2.22,,,,,
"Richardson, Texas",1.91,1.84,,,,,
"Richmond, California",1.68,1.89,,,,,
"Richmond, Virginia",1.39,1.42,,,,,
"Riverside, California",2.05,2.04,,,,,
"Rochester, Minnesota",1.68,1.68,,,,,
"Rochester, New York",1.1,1.14,,,,,
"Rockford, Illinois",1.54,1.46,,,,,
"Roseville, California",1.87,1.95,,,,,
"Round Rock, Texas",1.93,1.99,,,,,
"Sacramento, California",1.61,1.65,,,,,
"Salem, Oregon",1.7,1.71,,,,,
"Salinas, California",1.96,2.09,,,,,
"Salt Lake City, Utah",1.6,1.62,,,,,
"San Angelo, Texas",1.64,1.66,,,,,
"San Antonio, Texas",1.68,1.71,,,,,
"San Bernardino, California",1.71,1.8,,,,,
"San Buenaventura, California",1.85,1.91,,,,,
"San Diego, California",1.76,1.8,,,,,
"San Francisco, California",1.07,1.1,,,,,
"San Jose, California",2.07,2.12,,,,,
"San Mateo, California",1.84,1.87,,,,,
"Sandy Springs, Georgia",1.57,1.57,,,,,
"Santa Ana, California",2.21,2.25,,,,,
"Santa Clara, California",1.87,1.81,,,,,
"Santa Clarita, California",2.06,2.15,,,,,
"Santa Maria, California",2,1.98,,,,,
"Santa Rosa, California",1.86,1.88,,,,,
"Savannah, Georgia",1.45,1.43,,,,,
"Scottsdale, Arizona",1.67,1.7,,,,,
"Seattle, Washington",1.4,1.39,,,,,
"Shreveport, Louisiana",1.53,1.5,,,,,
"Simi Valley, California",2.26,2.29,,,,,
"Sioux Falls, South Dakota",1.79,1.82,,,,,
"South Bend, Indiana",1.44,1.43,,,,,
"Spokane, Washington",1.68,1.66,,,,,
"Spring Hill, Florida",1.65,1.75,,,,,
"Spring Valley, Nevada",1.64,1.62,,,,,
"Springfield, Illinois",1.52,1.52,,,,,
"Springfield, Massachusetts",1.31,1.26,,,,,
"Springfield, Missouri",1.56,1.56,,,,,
"St. Louis, Missouri",1.25,1.27,,,,,
"St. Paul, Minnesota",1.52,1.52,,,,,
"St. Petersburg, Florida",1.49,1.52,,,,,
"Stamford, Connecticut",1.67,1.63,,,,,
"Sterling Heights, Michigan",1.85,1.89,,,,,
"Stockton, California",1.8,1.83,,,,,
"Sunnyvale, California",1.83,1.78,,,,,
"Sunrise Manor, Nevada",1.6,1.66,,,,,
"Surprise, Arizona",1.87,1.87,,,,,
"Syracuse, New York",1.09,1.08,,,,,
"Tacoma, Washington",1.71,1.7,,,,,
"Tallahassee, Florida",1.54,1.65,,,,,
"Tampa, Florida",1.48,1.49,,,,,
"Temecula, California",2.24,2.25,,,,,
"Tempe, Arizona",1.57,1.65,,,,,
"The Woodlands, Texas",1.97,1.9,,,,,
"Thornton, Colorado",2.1,2.14,,,,,
"Thousand Oaks, California",2.07,2.09,,,,,
"Toledo, Ohio",1.45,1.43,,,,,
"Topeka, Kansas",1.57,1.52,,,,,
"Torrance, California",1.91,1.95,,,,,
"Tucson, Arizona",1.49,1.54,,,,,
"Tulsa, Oklahoma",1.63,1.62,,,,,
"Tyler, Texas",1.61,1.63,,,,,
"Vallejo, California",1.94,2.01,,,,,
"Vancouver, Washington",1.72,1.75,,,,,
"Victorville, California",1.92,1.95,,,,,
"Virginia Beach, Virginia",1.93,1.98,,,,,
"Visalia, California",1.75,1.84,,,,,
"Vista, California",2.15,2.14,,,,,
"Waco, Texas",1.62,1.67,,,,,
"Warren, Michigan",1.65,1.73,,,,,
"Washington, District of Columbia",0.89,0.86,,,,,
"Waterbury, Connecticut",1.36,1.32,,,,,
"West Covina, California",2.3,2.22,,,,,
"West Jordan, Utah",2.14,2.3,,,,,
"West Palm Beach, Florida",1.46,1.43,,,,,
"West Valley City, Utah",2.16,2.1,,,,,
"Westminster, Colorado",1.96,1.91,,,,,
"Wichita Falls, Texas",1.75,1.63,,,,,
"Wichita, Kansas",1.73,1.8,,,,,
"Wilmington, North Carolina",1.63,1.56,,,,,
"Winston-Salem, North Carolina",1.63,1.68,,,,,
"Worcester, Massachusetts",1.3,1.3,,,,,
"Yonkers, New York",1.26,1.25,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,